Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,2,3,5,7	-1.5829280002926123	0.0	0.41263745208936065	-3.498732557013368	0.0	1.8752091145296337	0.0	1.5658416736700518	0.0	0.0	-0.6000133337879227	1.0	0.016666666666666666	0.9888888888888889	0.975	0.9857142857142858	0.0	0.049999999999999996	0.03333333333333335	0.075	0.04285714285714287
0,2,3,4,5	-0.9053140606897955	0.0	0.7034189102670917	-3.7180659297779117	0.03920765871158842	2.4849094074358815	0.0	0.0	0.0	0.0	-0.3242612477515258	0.8666666666666666	0.0	0.9527777777777778	1.0	0.9200000000000002	0.16329931618554522	0.0	0.05800170282728085	0.0	0.0979795897113271
0,2,3,4,9	-1.4209399187488418	0.0	0.7545793990527411	-3.903069126515377	-1.0360959500216063	0.0	0.0	0.0	0.0	3.1990477013047887	-0.5912839674742641	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,6,8	0.048084434049512056	0.0	1.3717346916707132	-3.6432764933566175	0.0	0.0	0.6096321187407415	0.0	1.6581735891611888	0.0	-1.0101428841696358	0.7666666666666667	0.14333333333333334	0.826388888888889	0.7266666666666667	0.7097619047619047	0.334995854037363	0.17323715280248378	0.11641010148777924	0.29983328701129897	0.27805701384400605
0,2,3,7,8	-1.318473332369822	0.0	0.707844626018914	-3.6495075701282325	0.0	0.0	0.0	2.954011816523349	2.018071126900135	0.0	-1.9876554925288772	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,6,9	-1.8435443706719767	0.0	0.46711980410349846	-3.8539205778213117	0.0	0.0	-0.5724904297132399	0.0	0.0	2.9964414019008556	-0.38702279076629625	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,6,7	-1.7297021455821189	0.0	0.5157322893446497	-3.6613644897204116	0.0	0.0	-0.624943092670149	3.04144200785358	0.0	0.0	-0.43123627342002147	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,7,9	-2.0321098037921823	0.0	0.3915395544582312	-3.827393635505918	0.0	0.0	0.0	1.8815397514588217	0.0	1.3035870706041575	-0.5632671082085572	1.0	0.016666666666666666	0.9888888888888889	0.975	0.9857142857142858	0.0	0.049999999999999996	0.03333333333333335	0.075	0.04285714285714287
0,2,3,8,9	-1.4029073828444996	0.0	0.7013275312527633	-3.8004799553816566	0.0	0.0	0.0	0.0	2.0820656185000708	2.953958332627606	-2.064451121768133	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,5,8	-0.3621149960216063	0.0	1.02595817899199	-3.4838151420823484	0.0	2.5370803700737343	0.0	0.0	1.9140934733718304	0.0	-1.871645501753489	0.9666666666666666	0.016666666666666666	0.976388888888889	0.975	0.9657142857142859	0.1	0.049999999999999996	0.047324236215002285	0.075	0.06975174637562116
0,2,4,6,8	-0.7685087508189382	0.0	2.021578519731652	0.0	0.886129614448677	0.0	-0.21958641242766824	0.0	1.8103353060416079	0.0	-3.0388170539796517	0.0	0.0	0.6541666666666666	0.0	0.0	0.0	0.0	0.01909406539564932	0.0	0.0
0,2,4,5,7	-1.7957940040414564	0.0	2.1805351787233853	0.0	-1.2940132001561877	2.3771396466757095	0.0	3.007506087793698	0.0	0.0	-3.9046252630118707	0.9333333333333332	0.016666666666666666	0.9652777777777779	0.975	0.9457142857142857	0.13333333333333336	0.049999999999999996	0.053160164469457344	0.075	0.08422515984562098
0,2,3,5,9	-1.5630246011860582	0.0	0.42188770957343164	-3.4962389044605318	0.0	2.1249971241688477	0.0	0.0	0.0	1.4890707874233542	-0.7665916871434717	1.0	0.016666666666666666	0.9888888888888889	0.975	0.9857142857142858	0.0	0.049999999999999996	0.03333333333333335	0.075	0.04285714285714287
0,2,4,5,9	-1.9540930100409413	0.0	2.199627154143278	0.0	-1.3750292824522288	2.5149547705866904	0.0	0.0	0.0	2.8592754361704693	-3.8264127092578883	0.9333333333333332	0.016666666666666666	0.9652777777777779	0.975	0.9457142857142857	0.13333333333333336	0.049999999999999996	0.053160164469457344	0.075	0.08422515984562098
