Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,4,6,7,9,11,12	-1.9148334928906952	0.0	0.0	0.0	-7.529427161989777	0.0	0.2455141233632427	-4.769683210546899	0.0	1.7326758538239724	0.0	0.8643013021760464	5.020503377601941	1.185384151809165	0.8958333333333334	0.035076923076923075	0.9307843137254903	0.9616653274261969	0.9266293658999215	0.05694661242485515	0.02138184818842054	0.03106330429156222	0.022717053224539856	0.03390981568668915
0,5,6,8,9,10,11	-2.7618196428929203	0.0	0.0	0.0	0.0	5.024031755640368	-2.1113438877465662	0.0	1.6076353556627905	1.2997341930769228	-1.3003006741209944	0.03974526729862413	0.0	0.09163646900998654	0.7311666666666666	0.18615384615384614	0.7728235294117647	0.7956752565173617	0.7566443072781788	0.10985862126691136	0.07213071631896076	0.05374439341126612	0.06513540665072831	0.06736129515892778
0,4,6,7,8,9,11	-2.6569722737563186	0.0	0.0	0.0	-7.707889353632167	0.0	0.13764363551480208	-5.131753573005012	0.77198529365938	2.072151708986978	0.0	-0.0862266889043151	0.0	5.845370186185845	0.8636666666666667	0.07030769230769231	0.8970588235294118	0.9245659895659897	0.8905340071618003	0.07815156215116026	0.03503540052490949	0.03695742950396007	0.03200770182372413	0.043395839096000755
0,4,5,7,10,11,12	-3.316467799762853	0.0	0.0	0.0	-6.955684448734561	1.5610935949778082	0.0	-2.5534112223252037	0.0	0.0	-1.0011583559430028	1.0836657465294124	4.992892681468622	1.3257188909038184	0.8155000000000001	0.054307692307692314	0.8815686274509804	0.9376770219356032	0.8692592711748425	0.0876484455081777	0.03996477739150642	0.043574257062034535	0.04225253671716414	0.05335674263940537
1,2,3,4,5,10,11	0.0	0.06805834891464477	2.4071367265458017	-5.722926318693048	-5.481281436728756	0.2600702952614846	0.0	0.0	0.0	0.0	-1.486656809735201	0.09672397681425986	0.0	3.017561014041227	0.9559999999999998	0.19476923076923075	0.8794901960784314	0.8286584693321345	0.8870213383356674	0.037735924528226404	0.06029591721780252	0.037903152654641954	0.046289294328189144	0.034382482301095654
1,2,3,4,5,6,11	0.0	0.3428578069684239	1.5677153289437942	-5.499771011044314	-4.421066756483546	0.9626900897528431	-0.008432048033372242	0.0	0.0	0.0	0.0	0.5290988192979357	0.0	1.680725606671595	0.924	0.2569230769230769	0.8321176470588236	0.7793788180210595	0.84425947921731	0.04882622246293481	0.06144993632670592	0.03180121358844358	0.03901208817856473	0.0280024602245466
0,5,6,7,8,10,11	-2.7593140473520976	0.0	0.0	0.0	0.0	4.391397633039693	0.9154966812524702	-4.937592814003242	4.081857413454504	0.0	-1.1891002217432896	0.29479195542733916	0.0	0.4595850824385506	0.7271666666666667	0.11261538461538463	0.8082745098039215	0.8661546604148906	0.7844759576736726	0.11790780296485893	0.06547703875062079	0.061734371636000394	0.07087533618126367	0.07888929001695358
0,5,7,8,9,11,12	-2.400216611445918	0.0	0.0	0.0	0.0	3.5691262956007725	0.0	-3.7578608667104705	1.4723120893278057	1.388335966288918	0.0	2.014712585307925	5.799657729020538	-5.069587621078703	0.7391666666666666	0.09261538461538463	0.8241960784313725	0.8947174334280608	0.8037851758086199	0.08936582120699164	0.08442159627227953	0.05181609154818114	0.086306829808056	0.05998892775460642
1,2,3,4,5,8,10	0.0	0.589719783833052	1.4052494334732217	-5.994717410877705	-4.474293565740765	1.4674349764196393	0.0	0.0	2.717044068244898	0.0	-2.714137348565797	0.0	0.0	1.819239451661885	0.9640000000000001	0.15584615384615386	0.9031372549019607	0.8585503021264979	0.9074513197987116	0.03773592452822641	0.04349821461343227	0.02408239093712977	0.03238609517908216	0.022954369679311575
0,6,7,9,10,11,12	-1.7607334454642936	0.0	0.0	0.0	0.0	0.0	-0.03840878268936966	-3.7911892831606044	0.0	2.5652024820199877	0.32237022537497373	2.0378517584050124	6.091791267117489	-4.203781458384363	0.7993333333333335	0.27599999999999997	0.7609803921568628	0.7354425716434713	0.7642371474126026	0.1055967171206883	0.04902939584376636	0.06416200420455076	0.05149811330249154	0.07297850450283948
