# nel,B,Pinput,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI,SDLloop_dPhi,SDLloop_dTheta
1.499421266346190329e-01,0.000000000000000000e+00,3.884281499415411787e-01,4.928295222975895840e-01,1.628434370733504721e-01,4.453471456817566509e-01,3.439567642641834233e-01,9.253675455751526613e-01,7.120209631111451554e-01,9.698468759829329544e-01,9.698535095663638472e-01,9.115295939187237906e-01
1.611109266986208155e-01,0.000000000000000000e+00,3.953870215582635517e-01,4.789053008393149291e-01,1.568159388873175963e-01,4.776274914862164711e-01,3.249849617315037076e-01,9.317676033086959020e-01,7.007764142299000021e-01,9.724326375801245481e-01,9.712198061166263940e-01,9.125099152374127609e-01
1.849729696726978290e-01,0.000000000000000000e+00,4.007790067809064993e-01,4.679296424192525006e-01,1.585953233030967802e-01,4.034831989190485468e-01,3.415405878125561401e-01,9.170673966901834451e-01,6.828848157451512524e-01,9.664934365092169299e-01,9.716303074585548316e-01,9.111755376655006344e-01
2.085149090365248092e-01,0.000000000000000000e+00,4.025424233158991782e-01,4.590235142504364152e-01,1.543837639600780243e-01,3.942033673452735587e-01,4.260756065347716115e-01,9.152275323284605468e-01,6.967527001168811740e-01,9.657500915569284805e-01,9.721876781144311863e-01,9.116391170608381112e-01
2.218691347371035683e-01,0.000000000000000000e+00,3.971266554728853926e-01,4.563017445926056403e-01,1.685570466315060578e-01,4.745382607994534374e-01,2.011974812900014786e-01,9.311551174677051845e-01,7.303148556812812942e-01,9.721851800676466482e-01,9.796366616283567197e-01,9.193985314588880575e-01
2.203094898855058048e-01,0.000000000000000000e+00,3.940211377049425145e-01,4.499541488494807062e-01,1.954026800919765883e-01,4.162078516993805155e-01,2.586990539256541766e-01,9.195902479919240147e-01,5.010041862416489966e-01,9.675127229411619734e-01,9.719521324594584399e-01,9.176349337444418275e-01
2.187445413628799074e-01,0.000000000000000000e+00,3.992740579829847647e-01,4.297125446005993776e-01,1.964668607458186500e-01,5.128739376182243070e-01,4.708010278936870519e-01,9.387557344617365462e-01,6.432685719168036442e-01,9.752559935440817673e-01,9.660609722822561807e-01,9.181942252359259760e-01
2.171821508184494931e-01,0.000000000000000000e+00,4.021227429515756846e-01,3.064368044329637275e-01,2.025842125769976576e-01,6.633068451550425682e-01,4.882581679437512090e-01,9.685812914459303036e-01,6.550163765037029240e-01,9.873061629449567667e-01,9.661477464223793277e-01,9.217678534086948261e-01
2.714962926143389410e-01,0.000000000000000000e+00,3.798594421171661573e-01,7.121595194269665363e-01,4.920009728004028915e-01,3.372993475018767895e-01,7.668108375179814029e-01,9.039454656965068002e-01,3.247790137589008364e-01,9.611918928892874137e-01,9.974891216002799155e-01,8.860215944889986428e-01
2.236431866148249625e-01,0.000000000000000000e+00,3.706660363043039474e-01,7.092708855273524016e-01,4.905233288255592683e-01,3.542742831251207147e-01,5.494960863442780452e-01,9.073109986641533231e-01,3.274514651168218826e-01,9.625516409203422885e-01,1.000000000000000000e+00,8.836447627289523155e-01
1.955657961476635620e-01,0.000000000000000000e+00,3.668593400065702781e-01,6.393400244048017544e-01,4.928009258976784324e-01,4.153483450794957510e-01,7.423593969059939512e-01,9.194198380457930808e-01,3.724759755639408532e-01,9.674438736412289686e-01,9.945568259029240465e-01,8.901956684274116016e-01
