Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,5,10	-4.955368067931164	0.0	0.0	0.0	0.0	5.661788268630635	0.0	0.0	0.0	0.0	-0.4849304665427704	1.1040691072329578	0.6583076923076923	0.11595441595441594	0.7732220609579101	0.848565477350307	0.7384747523008393	0.08347610649179552	0.05840177882344106	0.04963842842051268	0.06383043423088254	0.06368102042407824
0,5,9	-4.371811728012608	0.0	0.0	0.0	0.0	5.232200740793211	0.0	0.0	0.0	0.8714560361029149	0.0	0.36345243340946337	0.6041538461538462	0.18276353276353277	0.7123004354136431	0.7663762568409548	0.6703396744732149	0.10056891422738806	0.08746496747118768	0.05892411403954612	0.07743016460191285	0.07942406854972596
0,6,9	-2.545600374160815	0.0	0.0	0.0	0.0	0.0	-3.8151864635595194	0.0	0.0	3.4958482390539203	0.0	2.1290559544168883	0.7481538461538462	0.344017094017094	0.7010159651669085	0.682408988583477	0.7114107609810172	0.06892256181126194	0.10548863468002354	0.06545802908005166	0.0676137060403727	0.057169225721692606
0,6,8	-3.410474843555871	0.0	0.0	0.0	0.0	0.0	-3.4761483773253743	0.0	1.9210816576976348	0.0	0.0	3.156894793192806	0.5350769230769231	0.17934472934472934	0.6800072568940494	0.7545094487070191	0.6214608970320948	0.06939058476794865	0.10433819004625017	0.05875517949382024	0.09845821401057248	0.06299603640734026
0,5,8	-4.862916031218264	0.0	0.0	0.0	0.0	5.674390429501998	0.0	0.0	0.5295025750441307	0.0	0.0	0.6354565435382444	0.6119999999999999	0.14572649572649574	0.7350145137880986	0.8014752031594137	0.6908737600118541	0.09735386560342117	0.05792678600116026	0.06027920815739419	0.07097947349291335	0.08394360122756112
0,6,7	-3.853486692016994	0.0	0.0	0.0	0.0	0.0	-0.12608847880290078	-2.9691439059844016	0.0	0.0	0.0	4.059389954938652	0.49615384615384617	0.21267806267806266	0.6439042089985486	0.6963547670080178	0.5748442964482201	0.09533559534426252	0.0849677784839173	0.06370424668091074	0.09089765992729565	0.08523454277436772
0,6,10	-2.8615028508379807	0.0	0.0	0.0	0.0	0.0	-2.2845326055280246	0.0	0.0	0.0	-0.13309716189166218	2.894197613027698	0.45353846153846156	0.15327635327635328	0.6533381712626996	0.746292735042735	0.5619875941767195	0.06448631798374435	0.07287045356254271	0.05684242237168925	0.10410992372989468	0.07204976197422676
0,7,8	-3.168764158772087	0.0	0.0	0.0	0.0	0.0	0.0	-5.743214963794342	3.8403471112306535	0.0	0.0	3.3040514391149642	0.6933846153846153	0.18304843304843305	0.7563134978229317	0.7890486976791324	0.7355705967462641	0.09475237112769014	0.0923012070811083	0.07887616255580242	0.09312603189521397	0.08426202897861111
0,7,10	-3.5574747261164945	0.0	0.0	0.0	0.0	0.0	0.0	-3.2338094137114792	0.0	0.0	0.4455798286201163	3.738300270418062	0.4612307692307692	0.20156695156695154	0.6324383164005807	0.6934716088005561	0.5507908740252324	0.06497992407308874	0.07141925097497326	0.045367487553617136	0.07958447775783198	0.06092396422953211
0,7,9	-3.22735072784139	0.0	0.0	0.0	0.0	0.0	0.0	-4.230508717802598	0.0	3.2709487745823425	0.0	2.753044418674454	0.8024615384615386	0.31794871794871793	0.7410377358490565	0.717233210317918	0.7538494147801901	0.0694021809591996	0.12545935920159917	0.06387551986215076	0.07201867629519715	0.05266522683087167
