shotNO,time,type,nel,B,Pech,Pnbi-tan,Pinput,Prad,Prad_over_Pinput,Wp,beta,Rax,rax_vmec,a99,D/(H+D),CIII,CIV,OV,OVI,FeXVI,Ip,Isat@7L,SDLloop_dPhi,SDLloop_dPhi_ext,SDLloop_dTheta
114282,3.676,0,7.146602,-2.5385,0.0,-11.092404,-11.092404,1970.818542,,0.197572,0.252921,3.9,3.9396,0.513931,,-159.934,2.11916,14.5483,0.82762,,-3.3625,0.086006,0.000639,0.000576,0.189873
114282,3.686,0,7.312159,-2.5385,0.0,-11.079514,-11.079514,1972.720926,,0.206551,0.264416,3.9,3.9396,0.514501,,-159.934,2.24414,13.6791,0.854,,-3.2392,0.076987,0.000637,0.000576,0.188192
114282,3.696,0,7.477715,-2.5385,0.0,-11.127776,-11.127776,1954.492838,,0.215498,0.275869,3.9,3.9396,0.51507,,-159.934,2.59572,15.2221,0.78372,,-3.5047,0.071316,0.000637,0.000576,0.186545
114282,3.706,0,7.643272,-2.5385,0.0,-11.169082,-11.169082,1911.896358,,0.221623,0.28371,3.9,3.9396,0.51564,,-159.934,3.11916,12.8686,0.83446,,-3.525,0.076987,0.000639,0.000576,0.187279
114282,3.716,0,7.808042,-2.5385,0.0,-11.178174,-11.178174,1868.126053,,0.227067,0.290679,3.9,3.941629,0.517222,,-159.934,2.96778,14.3871,0.8198,,-3.8356,0.071316,0.000642,0.000576,0.188175
114282,3.726,0,7.972813,-2.5385,0.0,-11.153732,-11.153732,1832.092749,,0.232857,0.298091,3.9,3.943659,0.518805,,-159.934,2.47266,15.017,0.75246,,-3.4327,0.071316,0.000645,0.000576,0.187555
114282,3.736,0,8.137584,-2.5385,0.0,-11.15938,-11.15938,1805.59972,,0.23723,0.30369,3.9,3.945688,0.520387,,-159.934,2.17676,11.7016,0.69092,,-3.5492,0.071316,0.000648,0.000576,0.188326
114282,3.746,0,8.212273,-2.5385,0.0,-9.828828,-9.828828,1832.97634,,0.240362,0.307699,3.9,3.9465,0.518675,,-159.934,2.32518,13.5082,0.74656,,-3.4697,0.071065,0.000647,0.000576,0.190674
114282,3.756,0,8.226908,-2.5385,0.0,-8.996018,-8.996018,1890.719597,,0.238633,0.305485,3.9,3.9465,0.514765,,-159.934,2.43454,14.1137,0.78268,,-3.1581,0.071316,0.00065,0.000576,0.189613
114282,3.766,0,8.241543,-2.5385,0.0,-10.384668,-10.384668,1949.132488,,0.236486,0.302736,3.9,3.9465,0.510856,,-159.934,2.83008,15.3881,0.83932,,-3.3413,0.071316,0.000652,0.000576,0.188031
114282,3.776,0,8.281203,-2.5385,0.0,-11.27811,-11.27811,2001.470197,,0.237631,0.304202,3.9,3.9465,0.508421,,-159.934,2.59964,10.0658,0.84816,,-3.4358,0.071065,0.000656,0.000576,0.186319
114282,3.786,0,8.379257,-2.5385,0.0,-11.247264,-11.247264,2018.163246,,0.239683,0.30683,3.9,3.9465,0.509424,,-159.934,2.60258,11.1108,0.84038,,-3.427,0.070417,0.000656,0.000576,0.190571
114282,3.796,0,8.47731,-2.5385,0.0,-11.299958,-11.299958,1992.170318,,0.244867,0.313466,3.9,3.9465,0.510427,,-159.934,2.54394,10.4565,0.81106,,-3.2693,0.068547,0.000659,0.000576,0.18995
114282,3.806,0,8.575363,-2.5385,0.0,-11.314168,-11.314168,1946.960136,,0.247891,0.317337,3.9,3.9465,0.51143,,-159.934,2.44334,17.6586,0.86278,,-3.017,0.065776,0.00066,0.000576,0.190944
114282,3.816,0,8.753806,-2.5385,0.0,-11.31229,-11.31229,1910.024955,,0.251114,0.321463,3.9,3.9465,0.514839,,-159.934,2.6299,11.5551,0.87158,,-2.9724,0.064642,0.000665,0.000576,0.188115
114282,3.826,0,8.932248,-2.5385,0.0,-11.321784,-11.321784,1886.856816,,0.253514,0.324534,3.9,3.9465,0.518248,,-159.934,2.7256,15.7983,0.80126,,-2.8443,0.064642,0.000664,0.000576,0.18909
114282,3.836,0,9.110691,-2.5385,0.0,-11.299408,-11.299408,1870.046365,,0.255644,0.327262,3.9,3.9465,0.521656,,-159.934,2.67478,14.9584,0.79442,,-2.9322,0.062079,0.000666,0.000576,0.1894
114282,3.846,0,9.1487,-2.5385,0.0,-11.336676,-11.336676,1874.265721,,0.255934,0.327633,3.9,3.9465,0.521882,,-159.934,2.69138,13.4154,0.79934,,-3.0228,0.062079,0.000669,0.000576,0.192077
114282,3.856,0,9.093088,-2.5385,0.0,-11.372326,-11.372326,1857.520148,,0.25755,0.329702,3.9,3.9465,0.519985,,-159.934,2.83398,19.8461,0.81984,,-2.9426,0.062079,0.00067,0.000576,0.19242
114282,3.866,0,9.037476,-2.5385,0.0,-11.41813,-11.41813,1886.362151,,0.258945,0.331487,3.9,3.9465,0.518088,,-159.934,2.9424,13.0444,0.85792,,-2.9049,0.061614,0.000671,0.000576,0.192981
114282,3.876,0,8.98576,-2.5385,0.0,-11.40672,-11.40672,1897.542306,,0.259862,0.332661,3.9,3.9465,0.517375,,-159.934,2.417,14.1918,0.76906,,-2.7164,0.060217,0.000672,0.000576,0.1949
114282,3.886,0,8.943136,-2.5385,0.0,-11.377208,-11.377208,1878.792494,,0.261484,0.334737,3.9,3.9465,0.519427,,-159.934,2.37794,18.7572,0.80906,,-2.7237,0.060217,0.000681,0.000576,0.193169
114282,3.896,0,8.900512,-2.5385,0.0,-11.399172,-11.399172,1899.34595,,0.26125,0.334439,3.9,3.9465,0.521478,,-159.934,2.38574,15.6615,0.84032,,-2.779,0.060217,0.000675,0.000576,0.198095
