Detach Points (Label 1):
x: 0.01092411162306635, y: 0.0006937160000000004
x: 0.0, y: 0.0004366620000000005
x: 0.0, y: 0.00043536900000000007
x: 0.0, y: 0.00043155000000000065
x: nan, y: 0.0004486610000000007
x: 0.0, y: 0.00045836600000000025
x: 0.0, y: 0.00045923800000000076
x: 0.0, y: 0.0003240920000000002
x: 0.0, y: 0.00032360699999999995
x: 0.0, y: 0.0003234650000000002
x: 0.0, y: 0.00032500999999999987
x: 0.0, y: 0.0003272210000000004
x: 0.0, y: 0.00033012500000000007
x: 0.0, y: 0.0003336040000000002
x: 0.0, y: 0.00034030700000000014
x: 0.0, y: 0.00034674100000000056
x: 0.0, y: 0.00035533800000000056
x: 0.0003605719297086705, y: 0.0002083450000000004
x: 0.0003944580018276912, y: 0.00017997799999999996
x: 0.000363031333518617, y: 0.00019796900000000015
x: 0.0004039180672821711, y: 0.0001822990000000002
x: 0.0003963158889235814, y: 0.00019847400000000024
x: 0.0004079673635810193, y: 0.00019667800000000059
x: 0.0005081403593858929, y: 0.00018164600000000034
x: 0.0004056133284395873, y: 0.00019512699999999994
x: 0.00040262829365085595, y: 0.00020509100000000007
x: 0.0007105320996488569, y: 0.00018412899999999994
x: 0.0002218475381224013, y: 0.0006345680000000008
x: 0.00022307308816360883, y: 0.0006341660000000005
x: 0.00023513155408870555, y: 0.000630866000000001
x: 0.00026975739159320575, y: 0.0006291640000000005
x: 0.00046525553872431936, y: 0.0006552320000000002
x: 0.0003648712567395, y: 0.0006768360000000011
x: 0.0004389716395178909, y: 0.0006383470000000008
x: 0.00034351274081679476, y: 0.0006398030000000002
x: 0.0004102771128965665, y: 0.0006512440000000008
x: 0.00038240522922963744, y: 0.0006661750000000011
x: 0.0003637558132271, y: 0.00019864699999999996
x: 0.00035472966391967225, y: 0.00020803400000000025
x: 0.0003905568015066924, y: 0.00021742300000000012
x: 0.0003236692120884177, y: 0.00020298100000000014
x: 0.00035616697330567465, y: 0.00020660900000000058
x: 0.00033543811870745605, y: 0.00021830300000000018
x: 0.0003898535178205878, y: 0.0001960870000000002
x: 0.00036998540514368794, y: 0.00018543400000000024
x: 0.0003907804283534423, y: 0.0001932160000000004
x: 0.00048317830143640737, y: 0.00019516700000000048
x: 0.0003648566756386017, y: 0.0005483240000000005
x: 0.0003267388476764382, y: 0.0005500730000000005
x: 0.0003303717204045501, y: 0.0005600990000000001
x: 0.00043338733911730176, y: 0.0005661480000000007
x: 0.0004091816182571561, y: 0.0005712810000000003
x: 0.0003881691735900958, y: 0.0005598930000000002
x: 0.0004068791836846987, y: 0.0005823030000000006
x: 0.0004363899335493721, y: 0.0005950990000000006
x: 0.0004474737039446939, y: 0.0006042690000000008
x: 0.0004157350016497103, y: 0.000613287000000001
x: 0.00040209857645210744, y: 0.0005979770000000005
x: 0.0004065529768751898, y: 0.0006090980000000005
x: 0.0004038652274666707, y: 0.0006205530000000006
x: 0.00041064757780445244, y: 0.0006302110000000004
x: 0.00041664831579687664, y: 0.0006348290000000003
x: 0.000439656685752051, y: 0.0006155010000000005
x: 0.0004268169133673021, y: 0.0006279270000000008
x: 0.0004421139457628479, y: 0.0006408480000000006
x: 0.00044571074065656916, y: 0.000628089
x: 0.00046049996937281895, y: 0.000636487000000001
x: 0.00034178872611856457, y: 0.000559359000000001
x: 0.0003147876072731514, y: 0.0005645050000000006
x: 0.0003258237431547646, y: 0.0005665280000000006
x: 0.0003516294642781045, y: 0.0005936290000000006
x: 0.00035034961613180087, y: 0.0006177070000000005
x: 0.0003087851153037652, y: 0.0005987480000000008
x: 0.0003369781649741602, y: 0.0006067200000000009
x: 0.00038630996716018125, y: 0.0005910050000000006
x: 0.0004332067761575081, y: 0.000588089000000001
x: 0.00033658467770088506, y: 0.0006172720000000005
x: 0.0003509062124003916, y: 0.00018150099999999996
x: 0.00041671785333005607, y: 0.00017095700000000012
x: 0.00034856015960160584, y: 0.0001617740000000002
x: 0.0004140749569185507, y: 0.00017611800000000044
x: 0.00045989295939419386, y: 0.00019004599999999995
x: 0.00044765657698318524, y: 0.00017774300000000004
x: 0.00040898295673087287, y: 0.00018009400000000008
x: 0.0004630072823460606, y: 0.0001912500000000003
x: 0.0006093056431804259, y: 0.00018283500000000012
x: 0.0004673053410183738, y: 0.00018971999999999994
x: 0.00048187429847088107, y: 0.000505963
x: 0.00043404648766283215, y: 0.0004932460000000008
x: 0.00043517142448646, y: 0.0005076550000000007
x: 0.0004064106073846576, y: 0.0005126550000000009
