data,cycle,shot#,B,LID
20221014,24,180565,-2.54,2500
20221014,24,180566,-2.54,0
20221014,24,180567,-2.54,2500
20221014,24,180568,-2.54,0
20221014,24,180569,-2.54,2500
20221014,24,180570,-2.54,0
20221014,24,180571,-2.54,2500
20221014,24,180572,-2.54,0
20221014,24,180573,-2.54,3000
20221014,24,180574,-2.54,0
20221014,24,180575,-2.54,3000
20221014,24,180576,-2.54,0
20221014,24,180577,-2.54,3300
20221014,24,180578,-2.54,0
20221014,24,180579,-2.54,3300
20221014,24,180580,-2.54,0
20221014,24,180581,-2.54,1920
20221014,24,180582,-2.54,1920
20221014,24,180583,-2.54,1220
20221014,24,180584,-2.54,1220
20221014,24,180585,-2.54,0
20221014,24,180586,-2.54,3000
20221014,24,180587,-2.54,0
20221014,24,180588,-2.54,3000
20221014,24,180589,-2.54,0
20221014,24,180590,-2.54,3000
20221014,24,180591,-2.54,0
20221014,24,180592,-2.54,3000
20221014,24,180593,-2.54,0
20221014,24,180594,-2.54,3000
20221014,24,180595,-2.54,0
20221014,24,180596,-2.54,3000
20221014,24,180597,-2.54,0
20221014,24,180598,-2.54,3000
20221014,24,180599,-2.54,0
20221014,24,180600,-2.54,3000
20221014,24,180601,-2.54,0
20221014,24,180602,-2.54,3000
20221014,24,180603,-2.54,0
20221014,24,180604,-2.54,3000
20221014,24,180605,-2.54,0
20221014,24,180606,-2.54,3000
20221014,24,180607,-2.54,0
20221014,24,180608,-2.54,3000
20221014,24,180609,-2.54,0
20221014,24,180610,-2.54,3000
20221014,24,180611,-2.54,0
20221014,24,180612,-2.54,3000
20221014,24,180613,-2.54,0
20221014,24,180614,-2.54,3000
20221014,24,180615,-2.54,0
20221014,24,180616,-2.54,3000
20221014,24,180617,-2.54,0
20221014,24,180618,-2.54,3000
20221014,24,180619,-2.54,0
20221014,24,180620,-2.54,3000
20221014,24,180621,-2.54,0
20221014,24,180622,-2.54,3000
20221014,24,180623,-2.54,0
20221014,24,180624,-2.54,0
20221014,24,180625,-2.54,0
20221014,24,180626,-2.54,0
20221014,24,180627,-2.54,3000
20221014,24,180628,-2.54,0
20221014,24,180629,-2.54,0
20221024,24,181317,2.54,0
20221024,24,181320,2.54,3000
20221024,24,181321,2.54,0
20221024,24,181322,2.54,3000
20221024,24,181323,2.54,0
20221024,24,181324,2.54,3000
20221024,24,181325,2.54,0
20221024,24,181326,2.54,3000
20221024,24,181327,2.54,0
20221024,24,181328,2.54,3000
20221024,24,181329,2.54,0
20221024,24,181330,2.54,3000
20221024,24,181331,2.54,0
20221024,24,181332,2.54,3000
20221024,24,181333,2.54,0
20221024,24,181335,2.54,3000
20221024,24,181338,2.54,3000
20221024,24,181341,2.54,0
20221024,24,181342,2.54,3000
20221024,24,181344,2.54,3000
20221024,24,181345,2.54,0
20221024,24,181346,2.54,3000
20221024,24,181348,2.54,3000
20221024,24,181350,2.54,3000
20221024,24,181351,2.54,0
20221024,24,181352,2.54,3000
20221024,24,181353,2.54,0
20221024,24,181354,2.54,3000
20221024,24,181356,2.54,3000
20221024,24,181358,2.54,3000
20221024,24,181359,2.54,0
20221024,24,181360,2.54,3000
20221024,24,181364,2.54,3000
20221024,24,181366,2.54,3000
20221024,24,181368,2.54,3000
20221024,24,181370,2.54,3000
20221024,24,181372,2.54,3000
20221024,24,181374,2.54,3000
