# nel,B,Pinput,Prad,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI,SDLloop_dPhi,SDLloop_dTheta
8.380543993696235594e-01,8.863432556768556791e-01,9.303028087357997356e-01,4.689999746807816949e-01,7.678758234271432226e-02,3.920947064510859059e-01,8.820839656434434906e-01,8.331507403983843263e-01,9.202129650071614320e-01,6.029147751502043073e-01,9.713312222890341241e-01,9.261849063345246602e-01,7.641877082486299155e-01
8.326173520657770277e-01,8.863432556768556791e-01,9.289962487861069818e-01,4.586768391143067891e-01,7.322403686354161945e-02,3.927027197398629266e-01,8.676767202612609697e-01,8.109125578656962707e-01,9.053418393050678414e-01,5.846088782013223462e-01,9.659877852619103145e-01,9.257481870000916491e-01,7.649263596379793917e-01
8.216180990075193646e-01,8.863432556768556791e-01,9.281035708890043034e-01,4.320163349132738473e-01,6.107470737821507623e-02,3.922765236254350807e-01,8.805368984116379583e-01,7.784169377054873662e-01,9.186160857520733192e-01,5.791560353107846337e-01,9.707574376334258126e-01,9.250123034683301881e-01,7.672100159642786243e-01
8.104631830913268109e-01,8.863432556768556791e-01,9.290947428828491006e-01,3.976316955281914423e-01,4.285687332722998288e-02,3.936002292833608029e-01,8.989800961594254236e-01,7.975949742383416918e-01,9.376531122467499646e-01,5.942567172109499696e-01,9.775977504850393851e-01,9.236356427492575794e-01,7.674064872973631601e-01
8.008493799277730529e-01,8.863432556768556791e-01,9.291679255973569473e-01,4.732419820014141520e-01,8.023918755890757648e-02,3.941521583318717825e-01,9.042162648670473146e-01,8.224302375951585420e-01,9.430578736000002626e-01,6.223734873745483398e-01,9.795397690326775875e-01,9.225769464556856647e-01,7.694756795808928018e-01
7.951225393122914875e-01,8.863432556768556791e-01,9.291685908073529232e-01,3.113235169827617277e-01,0.000000000000000000e+00,3.956731241032078739e-01,9.061165917385249902e-01,8.199197728815001973e-01,9.450193866464680070e-01,5.967499962844553529e-01,9.802445725325367176e-01,9.210103406222007738e-01,7.716091514627042569e-01
7.893537858308000699e-01,8.863432556768556791e-01,9.280925530445863769e-01,3.987404939080729793e-01,4.459784766854402172e-02,3.950438985016317961e-01,9.080298593509604776e-01,7.987548363340379876e-01,9.469942570961279449e-01,5.562885827164260055e-01,9.809541755643368388e-01,9.202913605603471048e-01,7.755018202653785053e-01
7.835425014644344932e-01,8.863432556768556791e-01,9.284359063566111070e-01,4.018238483085513346e-01,4.571711839792846899e-02,3.935672598644210929e-01,9.099587977472953781e-01,7.848470538374271444e-01,9.489853028930549383e-01,5.495897716611910511e-01,9.816695906611577760e-01,9.183230291616109042e-01,7.742676118900667648e-01
7.675987169529293608e-01,8.863432556768556791e-01,9.270204230746208474e-01,3.930017616799655888e-01,4.302795902257305904e-02,3.946278326042781393e-01,9.152472087239201803e-01,7.574478384200991066e-01,9.544439885967758164e-01,5.367133739908187540e-01,9.836309851038519403e-01,9.161606312687111675e-01,7.769973080958783029e-01
7.513257616292176033e-01,8.863432556768556791e-01,9.292886354255518455e-01,3.825711277409261091e-01,3.516342666876870471e-02,3.938161276056970639e-01,9.206459801319126779e-01,7.667717886493735646e-01,9.600165880851148081e-01,5.342623589103853154e-01,9.856333106197426863e-01,9.135798553154859114e-01,7.823549173775370402e-01
