Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,2,3,4,5,6,8	-0.532522844963719	0.0	0.7924088699043171	-3.185163854830685	0.7151901222371155	2.7890175311686645	-1.1207372227083503	0.0	2.0240161502746705	0.0	-1.7885227317160275	0.9666666666666666	0.0	0.9875	1.0	0.9800000000000001	0.1	0.0	0.0375	0.0	0.05999999999999999
0,1,4,6,7,8,9	-1.1936936458594645	0.0	0.0	0.0	-0.5986948899999448	0.0	-0.7184183566472453	2.3493076788154696	2.588844337884265	1.6108753800492928	-3.327662756518902	0.6666666666666667	0.1	0.8194444444444444	0.8	0.7014285714285714	0.25819888974716115	0.11055415967851333	0.12234841969747356	0.23033791601808756	0.2085480526148185
0,2,3,4,7,8,9	-1.0930426385995657	0.0	0.9337191096053903	-3.6519246807338193	-0.859749411770046	0.0	0.0	2.000605796007087	1.8834978685517592	1.551566691913751	-2.2107147915489653	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,5,8,9	-0.8024514496208427	0.0	0.8801412762425702	-3.3911167100005484	-0.8266819176445204	1.969881012011075	0.0	0.0	1.7185159342006908	1.7921924427255824	-2.0118397100369854	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,6,7,9	-1.2922050556114848	0.0	0.8715766086763888	-3.6637262709005443	-1.3903768481989804	0.0	-0.6451620701603551	2.2235543107233617	0.0	1.7105813528896512	-0.8006419799765648	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,5,6,7,9	-1.6494554767324743	0.0	0.4601289569856089	-3.259758193120617	0.0	2.3091552914554008	-0.9811592659398174	1.081595319558802	0.0	0.6782575401019542	-0.6103337818279755	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,5,7,8,9	-1.249453473475086	0.0	0.5918905286848809	-3.3322288126945843	0.0	1.6960763884027514	0.0	1.1760950981797607	1.923462423292703	0.9439030504979599	-2.293986307506691	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,5,6,7,8,9	-0.7586054572551639	0.0	0.0	0.0	0.0	2.5413187500290833	-1.4194417318101888	1.6274583677827952	2.5079457928831532	1.2777600696166285	-4.190888733772823	0.9333333333333332	0.05	0.9444444444444444	0.9349999999999999	0.9207142857142857	0.13333333333333336	0.10671873729054748	0.07453559924999299	0.13425721582097552	0.10002295654865785
0,2,3,5,6,7,8	-0.9258800325809723	0.0	0.6273944243834803	-2.852619723638101	0.0	2.1667089424814447	-1.2556829305278487	1.8138763461655152	1.9256535144915206	0.0	-1.9861000657578411	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,5,6,9	-0.9884595253427442	0.0	0.8369754442438324	-3.183732658793341	-1.113845650116438	2.4403176588907667	-0.8838952172572301	0.0	0.0	1.7159551947388625	-0.6822029516014155	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,5,7,9	-0.9963934869369379	0.0	0.8186524279344894	-3.2817228135140164	-1.3703124984595947	2.1035889573981557	0.0	1.233730809194853	0.0	0.8947805143580562	-1.017105908864313	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,4,5,6,7,8	-1.331888636210746	0.0	2.403702844692982	0.0	-0.8172213883340337	2.3143252802238226	-1.935525334317461	2.223401048523187	2.3593588687325573	0.0	-3.88935313937854	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,4,6,7,8,9	-1.8073479127822598	0.0	2.17078869598477	0.0	-1.0370591469353252	0.0	-0.9079879132516238	2.3596353238169647	2.8209848999903633	1.5864505902335437	-4.3156158881030136	0.7666666666666667	0.0	0.9208333333333332	1.0	0.8400000000000001	0.2603416558635552	0.0	0.08741177209755313	0.0	0.1907878402833891
0,2,3,4,6,7,8	-0.9251126535936132	0.0	0.8538849198624687	-3.3654709167557244	-0.4790403863202421	0.0	-0.8426116250354484	3.3927298494359155	2.0310443892302437	0.0	-2.059695555021748	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,5,6,8,9	-0.936848361028269	0.0	0.6270861686458897	-2.8853579141594126	0.0	2.37311270561248	-1.1623192692966415	0.0	1.9660409673999493	1.5503121826535549	-1.9909990891878533	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,6,7,8,9	-1.256556704144222	0.0	0.7181576811239629	-3.3225530118010256	0.0	0.0	-1.2055718330832712	2.069433754113129	2.250136988028913	1.6387835932423471	-2.34693895736772	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,4,5,6,8,9	-1.3916248642176994	0.0	2.4013412325650227	0.0	-0.8025810508046668	2.536641335187913	-1.90187530810968	0.0	2.4148802678588814	2.1108775106765987	-4.036294062320285	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,3,4,6,7,8,9	-0.6197490754040607	0.0	0.0	-3.6714304578929466	-0.4820216538057885	0.0	-1.0916640553251369	2.1394915368355267	1.9637168506971747	1.7059543885306419	-1.7912095266848105	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,4,5,6,7,9	-1.7171187638427354	0.0	2.293127510594763	0.0	-1.3331872427665576	2.963066288744111	-1.2138602600822557	1.689668047604887	0.0	1.2066856286694707	-3.5756766132542253	1.0	0.03333333333333333	0.9777777777777779	0.96	0.975	0.0	0.09999999999999999	0.06666666666666667	0.12	0.07500000000000002
0,3,4,5,6,7,8	-0.32045140750772816	0.0	0.0	-3.0653230744523734	-0.4428229956576734	2.1416175222173246	-1.137278908476196	1.9625107403652344	1.7600489187478021	0.0	-1.595734060442013	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
