# nel,B,Pinput,Prad,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI
8.323420713282458916e-01,8.863432556768556791e-01,9.857187887480445276e-01,4.320163349132738473e-01,6.107470737821507623e-02,3.859782947425779431e-01,8.879197708907528019e-01,7.757542036519569084e-01,9.188061436307406460e-01,5.813842759273345484e-01,9.707574376334258126e-01
8.218577672222184827e-01,8.863432556768556791e-01,9.867714911487881491e-01,3.976316955281914423e-01,4.285687332722998288e-02,3.873414704529490882e-01,9.065176058574059281e-01,7.951627000874188500e-01,9.377987124840621025e-01,5.966302970828409880e-01,9.775977504850393851e-01
8.128219271729113515e-01,8.863432556768556791e-01,9.868492169317337748e-01,4.732419820014141520e-01,8.023918755890757648e-02,3.879098568372434386e-01,9.117976772861031698e-01,8.202964054857158072e-01,9.431908519637273169e-01,6.250176822070877547e-01,9.795397690326775875e-01
8.074393730568110161e-01,8.863432556768556791e-01,9.868499234369256801e-01,3.113235169827617277e-01,0.000000000000000000e+00,3.894761745328558789e-01,9.137139374716601870e-01,8.177557728530204795e-01,9.451477842400017870e-01,5.991475731735868004e-01,9.802445725325367176e-01
8.020174257945402729e-01,8.863432556768556791e-01,9.857070869330801788e-01,3.987404939080729793e-01,4.459784766854402172e-02,3.888281867787229951e-01,9.156432468999770036e-01,7.963365000909480296e-01,9.471180427255927459e-01,5.582967313825867306e-01,9.809541755643368388e-01
7.965555045213250640e-01,8.863432556768556791e-01,9.860717550816116006e-01,4.018238483085513346e-01,4.571711839792846899e-02,3.873075179569280824e-01,9.175883585040740531e-01,7.822615896303162231e-01,9.491044387837601626e-01,5.515334464037980888e-01,9.816695906611577760e-01
7.815702292690984709e-01,8.863432556768556791e-01,9.845684008116997177e-01,3.930017616799655888e-01,4.302795902257305904e-02,3.883997146922056887e-01,9.229211102277226075e-01,7.545331215021705562e-01,9.545503766830193415e-01,5.385331175056004005e-01,9.836309851038519403e-01
7.662755723125247442e-01,8.863432556768556791e-01,9.869774202372378902e-01,3.825711277409261091e-01,3.516342666876870471e-02,3.875638063983736226e-01,9.283651477011359843e-01,7.639691163955626418e-01,9.601099623412027162e-01,5.360585121854032353e-01,9.856333106197426863e-01
6.280379624717893350e-01,8.863432556768556791e-01,8.716706860290002190e-01,4.744416500988383745e-01,2.096805237273249301e-01,2.897430820277856478e-01,8.610018491926543227e-01,8.352514112066891094e-01,8.913168965137437949e-01,4.959522027346746631e-01,9.608569838408000940e-01
6.228534372327014790e-01,8.863432556768556791e-01,8.692132009290292061e-01,4.903551739091061568e-01,2.203152515670535605e-01,2.871363115425552559e-01,8.716944558553139100e-01,9.438879010951747306e-01,9.022364507858502414e-01,5.482408298246790324e-01,9.647897413312812587e-01
6.176339559670487311e-01,8.863432556768556791e-01,8.709235818878389157e-01,4.968890587455111474e-01,2.216387982373235199e-01,2.847859541770491054e-01,8.796665853859251261e-01,9.358034447314345083e-01,9.103777865536542002e-01,5.729124486819394679e-01,9.677219030684267587e-01
6.123774405717830049e-01,8.863432556768556791e-01,8.726987939107990755e-01,4.881630555075653355e-01,2.153298502842770357e-01,2.768480398960871947e-01,8.781183011987485632e-01,9.310206631404881472e-01,9.087966404642204843e-01,5.057677033396676958e-01,9.671524417175499932e-01
6.040088749960537129e-01,8.863432556768556791e-01,8.712604264657974884e-01,4.730853459581311760e-01,2.094668588344511528e-01,2.697045153878080415e-01,8.919696278232570608e-01,1.000000000000000000e+00,9.229419576528891112e-01,5.812406611946623336e-01,9.722469813610842282e-01
5.955430668751025003e-01,8.863432556768556791e-01,8.699311453595666155e-01,4.260515101808726168e-01,1.876466420180387118e-01,2.616702629388999446e-01,8.798621990953809924e-01,9.361549415698985355e-01,9.105775521098148362e-01,5.442905821687806789e-01,9.677938500973762848e-01
5.869810469033647227e-01,8.863432556768556791e-01,8.698192763889507351e-01,4.541807408668537827e-01,2.017112797940949775e-01,2.579337901794664933e-01,9.025787788410143397e-01,9.649357992670773987e-01,9.337762849571873414e-01,5.933504327409836465e-01,9.761490437345592408e-01
5.822039408379211523e-01,8.863432556768556791e-01,8.704371681136633399e-01,4.192985602702362646e-01,1.837338569770942120e-01,2.576898147860349209e-01,8.742961188056098676e-01,9.127272712681961941e-01,9.048933333103607035e-01,5.446779879443006678e-01,9.657466370423349877e-01
