Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,4,5,6,9,10	-2.262822230523529	1.6250412504639449	-3.9888713766961232	0.0	-8.460333595384325	2.6357214251118455	-1.8504280137021105	0.0	0.0	2.2454684738360515	-1.4574714724591473	5.338140429995475	0.8410769230769232	0.05213675213675213	0.8952104499274309	0.9418672848890239	0.8862836675214648	0.0738591334746972	0.04435303625166694	0.042672079689341516	0.048789171295499575	0.047717982478268035
0,1,2,4,5,6,8,10	-3.189348826671802	1.891641964276093	-2.891152227145882	0.0	-8.356550156238836	2.5709234849066354	-1.7313079349467646	0.0	1.8505144008267973	0.0	-1.9730193520132573	5.264466396774155	0.8301538461538461	0.07492877492877494	0.8779027576197388	0.9224204981813677	0.8675628752008633	0.11255652097591319	0.0820769981859749	0.06413740712187851	0.07835643737283522	0.07056249403248623
0,1,2,4,5,7,8,10	-3.315208519272018	1.8371463101543828	-2.5340838394750533	0.0	-8.54618916115216	2.231451610551127	0.0	-2.836150532633707	2.230063382794888	0.0	-1.8513876047650775	5.650723027096462	0.860923076923077	0.022507122507122508	0.9199201741654571	0.9747898550724639	0.912329167374628	0.07287242642141387	0.030136202154061358	0.0378914989390559	0.03351476223941792	0.04242101874692008
0,1,2,4,5,7,9,10	-2.209047629857161	1.5297952867304927	-3.7675882603243798	0.0	-8.86601934754976	2.500630979497049	0.0	-3.037232830303588	0.0	2.567046914775441	-0.7885294149648694	5.630806454335424	0.918923076923077	0.041025641025641026	0.9390783744557328	0.9562561625170322	0.9362786583428729	0.05286154741649428	0.02589146452646509	0.029157659359482235	0.028081039840110133	0.03107413406956253
0,1,2,4,5,7,8,9	-2.208417532963279	1.6612044467799767	-4.27500926923069	0.0	-8.624605621025225	2.518825447729296	0.0	-3.7450874547307484	0.5436220452965098	2.6573224875405637	0.0	5.643445665483123	0.9496923076923076	0.052279202279202276	0.9486574746008708	0.9460840455840456	0.9475671836223605	0.0388780524020929	0.024755605288133708	0.02683935064149994	0.025151735894525566	0.02771500750682809
0,1,2,4,6,7,8,9	-1.669050016569686	0.4255186793744767	-4.788173582189991	0.0	-9.487243723388147	0.0	-0.030573582620722174	-4.380246636079692	0.6025861460791723	3.068487448085196	0.0	7.998354722546625	0.9496923076923076	0.048575498575498574	0.9505805515239478	0.9495142450142451	0.9494568219159942	0.04251306795263737	0.029141065715328134	0.03404666797182934	0.03027815657014139	0.034961554022369355
0,1,2,4,6,8,9,10	-1.5935254865849908	0.5785877214897688	-4.278947079654496	0.0	-9.610501755608567	0.0	-2.385764864100797	0.0	0.9354236257893135	1.803582900499911	-1.9298002669349608	7.585749520932628	0.8916923076923077	0.04472934472934472	0.9238026124818578	0.9533492473709865	0.9188865160119016	0.07298277335851654	0.03984124468698197	0.031885358878493905	0.038165667438273744	0.03516526146211495
0,1,2,4,6,7,9,10	-1.6719757275634428	0.34888879639673787	-4.044152179554832	0.0	-9.857712515651242	0.0	-0.37365339592491464	-3.373474210416277	0.0	2.9574249366734433	-0.6165987245595006	7.807105799414133	0.9112307692307692	0.044871794871794865	0.9334179970972423	0.9512622377622378	0.9301636500754148	0.054471315941099045	0.022570594622771323	0.03317688548241339	0.02439581205913275	0.03582481025102715
0,1,2,4,6,7,8,10	-2.755213861070834	0.8389945885561174	-2.99107950269809	0.0	-9.369001114997848	0.0	0.4228893526870722	-3.550231984691029	2.494860737835169	0.0	-1.9905203015715913	7.589968680089001	0.891846153846154	0.030056980056980053	0.9314586357039187	0.9666067193675889	0.9267360518675554	0.05875251473907888	0.0282213110788018	0.0352331174336808	0.03079921835424928	0.038532506308445985
0,1,2,5,6,7,8,10	-3.890077832907558	2.947744959800433	0.19439143438268208	0.0	0.0	5.9805912033438755	0.8797335606216844	-3.206265269728246	2.651086189650926	0.0	-1.160008926145022	-2.0882452302932157	0.7478461538461538	0.07492877492877492	0.8379172714078373	0.9081675989913978	0.8184619995440003	0.07006488961952664	0.05056558708019355	0.04722394181121474	0.05969201435264748	0.053397384873370125
