# nel,B,Pinput,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI
4.780638587656302896e-01,0.000000000000000000e+00,6.432952157396414350e-01,3.415016302168343287e-01,5.534509332884758326e-01,6.706507464020337039e-01,5.960368603066527049e-01,9.416740576285197450e-01,6.528346627277714642e-01,9.753118015354791392e-01
4.712688804971911782e-01,0.000000000000000000e+00,6.408735850137057266e-01,3.813055563374705415e-01,5.386662113332780777e-01,6.117751955572487965e-01,5.100707480196651211e-01,9.228813097089588746e-01,5.744316280023931132e-01,9.673572092654244559e-01
4.644344129929547371e-01,0.000000000000000000e+00,6.437608584044356430e-01,3.730857444970869796e-01,5.179992922363818586e-01,6.646735380416244343e-01,4.881553955018135271e-01,9.397661660102146763e-01,7.709261246319772942e-01,9.745042293813677148e-01
4.575599945826620552e-01,0.000000000000000000e+00,6.459642507203093853e-01,2.816268017399767842e-01,5.268035051691661863e-01,6.395048667432170486e-01,6.185758056520587189e-01,9.317324663098379700e-01,7.097876957523749919e-01,9.711037258568119279e-01
4.452825529684609762e-01,0.000000000000000000e+00,6.472241461739174362e-01,3.635132515005143894e-01,5.322024899879855830e-01,6.500968017696473478e-01,6.447751498943544712e-01,9.351133529780041309e-01,6.603568381244058205e-01,9.725347871934316712e-01
4.328755837516786720e-01,0.000000000000000000e+00,6.442214679126483379e-01,3.390091540275173010e-01,5.256623908684647795e-01,6.902070778050761746e-01,6.347017376235708497e-01,9.479163296924817406e-01,6.892238039961560148e-01,9.779540297673539051e-01
4.203363247200113673e-01,0.000000000000000000e+00,6.406553081514820835e-01,3.482698573008728982e-01,5.234332855915919680e-01,6.301432721274980997e-01,4.696212675801967329e-01,9.287442974483332003e-01,6.331881456675441111e-01,9.698388940701522243e-01
4.277269594750268134e-01,0.000000000000000000e+00,6.447441712613284359e-01,3.384299706851299216e-01,5.200020217947960433e-01,6.496795143576428178e-01,4.540770124901769567e-01,9.349801571601937811e-01,6.258132259296540489e-01,9.724784080823355437e-01
4.435169855404326178e-01,0.000000000000000000e+00,6.479123701705771232e-01,3.306737571898066275e-01,5.210149689808429851e-01,6.048069820635559868e-01,4.676416105053405881e-01,9.206570947715584374e-01,6.140787309133488581e-01,9.664157438116379728e-01
6.053254209236793582e-01,0.000000000000000000e+00,6.384358871460522611e-01,6.050758480974991471e-01,6.866554213175002364e-01,5.717224661168666122e-01,6.304640631091791292e-01,9.100967015471117527e-01,4.713585765773342651e-01,9.619457417304371205e-01
6.022580675890520929e-01,0.000000000000000000e+00,6.392497093088400639e-01,5.585782518467774516e-01,6.858863846679026377e-01,5.568644048111452971e-01,6.759284649882117968e-01,9.053540911309828632e-01,4.919134977275665399e-01,9.599382901157239578e-01
5.991826929158974302e-01,0.000000000000000000e+00,6.384680677450447206e-01,5.435536763778230362e-01,6.930432585897301490e-01,5.486672621996284693e-01,5.389920546579736182e-01,9.027376088637503182e-01,4.010683661650169540e-01,9.588307857897599984e-01
5.852960211988531558e-01,0.000000000000000000e+00,6.353848693456862762e-01,5.820924891488523656e-01,7.024220342044540377e-01,5.284377558328563484e-01,6.622140994953157334e-01,8.962804631006449085e-01,3.444234573245192887e-01,9.560976058421722934e-01
5.712434118035878416e-01,0.000000000000000000e+00,6.308597992203082150e-01,5.551470731049454876e-01,7.019897102449101922e-01,5.146963304317897503e-01,6.534921369478167152e-01,8.918942766461266380e-01,3.172726174135223065e-01,9.542410213226826254e-01
5.570208510018872516e-01,0.000000000000000000e+00,6.360965529086914927e-01,4.736080507052669031e-01,7.049642611829443073e-01,5.690424838663923346e-01,5.692802861523992286e-01,9.092412661390449902e-01,4.403052198607335654e-01,9.615836531251056307e-01
5.316064412654553095e-01,0.000000000000000000e+00,6.384069236412317494e-01,5.550541252511049795e-01,7.102821980997935380e-01,5.444417460628259153e-01,8.094701667960872982e-01,9.013888476470898192e-01,4.234735014520545349e-01,9.582598822904889735e-01
