Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	weight13	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
1,4,9	0.0	0.0	0.0	0.0	1.903549243980665	0.0	0.0	0.0	0.0	1.8173015453914805	0.0	0.0	0.0	0.0	-1.7184976209770972	0.8666666666666666	0.25	0.7857142857142857	0.7266666666666667	0.7597619047619047	0.22110831935702666	0.19364916731037085	0.12046772038736683	0.1997498435543818	0.15112747093647577
1,4,7	0.0	0.0	0.0	0.0	2.825119040165358	0.0	0.0	2.739218680705294	0.0	0.0	0.0	0.0	0.0	0.0	-2.2369053690404153	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
1,4,11	0.0	0.0	0.0	0.0	2.4352305482691654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3643208296963192	0.4333333333333333	0.0	0.7595238095238096	0.9	0.5633333333333332	0.2494438257849294	0.0	0.11241020603917026	0.30000000000000004	0.24605780711947434
1,4,13	0.0	0.0	0.0	0.0	2.26810316371287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.766910945944126	-2.2502422441572536	0.7333333333333333	0.25	0.7285714285714285	0.6833333333333333	0.6799999999999999	0.24944382578492943	0.19364916731037085	0.1532712089469627	0.22912878474779202	0.18571184369578825
1,3,12	0.0	0.0	0.0	4.790128535372549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.24234395318637197	0.0	-3.4350839380036575	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
1,5,7	0.0	0.0	0.0	0.0	0.0	-0.8718794728385679	0.0	2.761504017618132	0.0	0.0	0.0	0.0	0.0	0.0	-1.250460136772495	0.7166666666666666	0.0	0.8857142857142858	1.0	0.8099999999999999	0.24776781245530843	0.0	0.10583862271853747	0.0	0.17387735140993302
1,5,12	0.0	0.0	0.0	0.0	0.0	-0.010197399267743813	0.0	0.0	0.0	0.0	0.0	0.0	-0.020704786442945	0.0	-0.9852622144038108	0.0	0.0	0.5857142857142856	0.0	0.0	0.0	0.0	0.05947617141331806	0.0	0.0
1,6,11	0.0	0.0	0.0	0.0	0.0	0.0	2.5063285814216454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.353715636090121	0.7166666666666666	0.025	0.8690476190476192	0.95	0.7933333333333332	0.24776781245530843	0.07500000000000001	0.12428936320131609	0.15	0.19367785395111933
1,5,9	0.0	0.0	0.0	0.0	0.0	-1.3625925000627042	0.0	0.0	0.0	2.8431573137936543	0.0	0.0	0.0	0.0	-1.3524748340099297	0.6	0.15	0.7452380952380953	0.6683333333333333	nan	0.3511884584284246	0.2	0.1730249742764206	0.3958429823385362	nan
1,7,9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.929514831913631	0.0	0.41244438305396497	0.0	0.0	0.0	0.0	-1.9119069082528948	0.7166666666666666	0.025	0.8714285714285716	0.975	0.7957142857142856	0.24776781245530843	0.07500000000000001	0.09885971186679379	0.075	0.16322223071211672
1,5,10	0.0	0.0	0.0	0.0	0.0	0.22897943002697024	0.0	0.0	0.0	0.0	4.756867750764917	0.0	0.0	0.0	-3.5349160131845423	0.9333333333333332	0.025	0.9547619047619047	0.975	0.9457142857142857	0.13333333333333336	0.07500000000000001	0.06937524897301652	0.075	0.084225159845621
1,6,9	0.0	0.0	0.0	0.0	0.0	0.0	2.705047929008672	0.0	0.0	-0.41727873473681915	0.0	0.0	0.0	0.0	-1.2079016982960336	0.7166666666666666	0.0	0.8857142857142858	1.0	0.8099999999999999	0.24776781245530843	0.0	0.10583862271853747	0.0	0.17387735140993302
1,6,13	0.0	0.0	0.0	0.0	0.0	0.0	2.331267833843503	0.0	0.0	0.0	0.0	0.0	0.0	0.20687347230608352	-1.3697349704875128	0.7166666666666666	0.1	0.8214285714285715	0.8583333333333332	0.7523809523809524	0.24776781245530843	0.16583123951777	0.15802422386709636	0.2358495283014151	0.21409515336381987
