Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,5,6,7,8,9,10,11	1.571699736919693	0.0	0.0	0.0	0.0	-0.2685154175290138	1.8133835180055258	-0.4727562320429799	-2.809056002311438	-0.19450874790656708	-0.03779163653374598	-0.8513243969314288	0.6648101344296151	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,8,9,10,11	0.523839113628006	0.0	0.0	1.2159946818460505	2.4436083658733936	-0.14480722805515248	0.0	0.0	-0.9837506698281853	-0.4321060041868107	0.13158585205377463	-0.5480536021485422	-1.2056972983983367	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,5,6,7,9,10	0.8545332422717719	0.0	-0.24611139010540523	0.8543570462450214	3.0465655899991573	0.033538604482932756	0.2901020944752929	-0.44652995756353386	0.0	-0.1416835493177843	0.08968214368469038	0.0	-2.4795109256342975	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,7,8,9,10,11	0.5194733322500792	0.0	0.0	1.171522061739604	2.4741897903091017	0.0	0.0	-0.3670474708697703	-0.9644937831774264	-0.30061465988838904	0.2952180575361646	-0.4748720798124427	-1.2831927794379268	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,4,5,6,7,9,10,11	0.8183380020930274	0.0	0.0	0.0	2.9002260862157674	-0.3194810651057661	0.7618292492217125	-0.5430236899293799	0.0	-0.2475819275387608	0.1908956367148018	-0.9967401814861685	-1.041461500562622	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,7,8,10,11	0.5128780500049369	0.0	0.0	1.1878393802997347	2.4459624759616836	-0.1168084512260914	0.0	-0.46559862316144096	-0.98899241600381	0.0	0.13661444945306625	-0.5412150903624476	-1.2060983110746155	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,5,6,7,8,10,11	1.4097003511040644	0.0	0.0	1.1708552102705858	0.0	-0.2498259001250628	1.7167210394884982	-0.43209087194670753	-2.600380225558891	0.0	-0.05335460176589335	-0.7188112732208963	-0.44657744346201633	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,5,6,8,9,11	0.5067229271736	0.0	-0.3251895693192416	0.7065234889962861	2.2316206030428978	0.04562720586831153	0.7184651742880876	0.0	-1.0559425351150677	-0.3171687207027771	0.0	-0.5276119072125262	-1.088961892621474	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,5,6,7,8,9	0.5941195725423671	0.0	-0.35127978571195256	0.7601091070097502	2.2231148115029713	0.09922931061114502	0.7002619819825442	-0.32494993279848555	-1.1047375250855933	-0.21727448002490418	0.0	0.0	-1.449406874441896	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,6,7,8,10,11	0.5271611514380615	0.0	0.0	0.8683127427218228	2.1635864268878935	0.0	0.8179384230384354	-0.470664674767033	-1.0161998846869684	0.0	0.03104185870951488	-0.5239422298691724	-1.2744369071630899	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,4,5,6,7,8,9,10	0.8721527654633101	0.0	0.0	0.0	2.2930030352980335	-0.17528388117047308	1.0912769993961868	-0.7217605941482914	-1.167984571566459	-0.4950259770407154	0.15441408455142994	0.0	-0.9336771468771354	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,6,7,8,9,10	0.6002959574074452	0.0	-0.2853453397367308	0.7444513557756006	2.2449755877839674	0.0	0.72256185075098	-0.33621848811539745	-1.097865618915126	-0.23945563640529807	0.005981140217522594	0.0	-1.4173715244574774	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,5,6,7,9,11	0.6565350377934499	0.0	-0.12609176817380358	0.746904139602099	2.931721858156294	-0.05217296818089978	0.5081026557428489	-0.2566939883877184	0.0	-0.04688771571303838	0.0	-0.7925348268399915	-1.8015161375240125	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,5,6,7,8,9,10	1.5782113276076237	0.0	0.0	1.2413049058649528	0.0	0.0012802804838007997	1.721194409682889	-0.45837173058214936	-2.6801222875271025	-0.16246706170514205	0.003988531345194775	0.0	-1.189745513909787	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,4,5,6,8,9,10,11	0.7467889986561109	0.0	0.0	0.0	2.2075595750737653	-0.34085272558046925	1.1047963502738587	0.0	-1.0242101169381495	-0.6609531190326303	-0.01008487552876465	-0.8862921824604684	-0.3149071961982907	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,5,6,8,10,11	0.5068417736290961	0.0	-0.4076388959705738	0.7634486086515988	2.228907370052074	0.034583519422711165	0.7273349863925161	0.0	-1.0417252480613892	0.0	-0.2256185697018968	-0.5624060059811009	-1.1633184537736712	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,5,6,7,8,10	0.5923110654217755	0.0	-0.3834373641979992	0.7870811048888365	2.2317086657187026	0.11767740551120887	0.7004963161597146	-0.4345744921468643	-1.0919637580973567	0.0	-0.062016307073842945	0.0	-1.5194667638373744	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,3,4,5,7,8,9,11	0.5094774711506178	0.0	-0.6321942081689974	0.9943865428016381	2.4829019923947735	-0.0658478057398489	0.0	-0.11235744689500327	-1.0367534829552874	-0.05317097704529392	0.0	-0.466328760502449	-1.0971352018308462	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
