# nel,B,Pinput,Prad/Pinput,beta,D/(H+D),CIII,CIV,OV,OVI,FeXVI,RMP_LID,SDLloop_dPhi,SDLloop_dTheta
2.940770475220152447e-01,0.000000000000000000e+00,5.770980225923333373e-01,5.348056488256938135e-01,1.483461883880465848e-02,4.996510112746901378e-01,9.121858848832242739e-02,3.170926762346366612e-01,3.041965923701753782e-01,1.738826843914895726e-01,5.771336828093480698e-01,0.000000000000000000e+00,1.191730850568397670e-01,7.117337379727318725e-01
2.272573672345679918e-01,0.000000000000000000e+00,5.770980225923333373e-01,5.376616163743518362e-01,1.146225191088223738e-02,4.265447827713066964e-01,1.247264689840452689e-01,3.579937213801347440e-01,3.822169806673664239e-01,2.741676839242672692e-01,5.374152761996768835e-01,0.000000000000000000e+00,1.189245313645663771e-01,7.087880208004930793e-01
1.818913925928107023e-01,0.000000000000000000e+00,5.770980225923333373e-01,5.401015770107990832e-01,1.339172472102934108e-02,4.095753363542495862e-01,1.479292122721824754e-01,3.783991468413079318e-01,4.496540695478760674e-01,3.619412142531521770e-01,5.965919061184543626e-01,0.000000000000000000e+00,1.190985213833606338e-01,7.088185081187861059e-01
1.885800451315348958e-01,0.000000000000000000e+00,5.770980225923333373e-01,5.350590285887715236e-01,9.512917271001342101e-03,4.643133558473513389e-01,1.486831196773540364e-01,3.750464377550120076e-01,4.414651895923774605e-01,3.387137453497555128e-01,6.374479976251734570e-01,0.000000000000000000e+00,1.190736663618956470e-01,7.075590321365536894e-01
1.952213582703850869e-01,0.000000000000000000e+00,5.770980225923333373e-01,5.339222561395420286e-01,1.000792795466143303e-02,5.188164576473655032e-01,1.495499202964054586e-01,3.817492257544246037e-01,4.257261332756971939e-01,3.425425201871743486e-01,7.281450324109830508e-01,0.000000000000000000e+00,1.185765172430564007e-01,7.059120480753886540e-01
2.018159973985196587e-01,0.000000000000000000e+00,5.770980225923333373e-01,5.400653932685270942e-01,2.744521257527665625e-03,4.881598027410340990e-01,1.450666443183148413e-01,3.693891093930394831e-01,4.104329460432763477e-01,3.310059649740790810e-01,6.206215764311240335e-01,0.000000000000000000e+00,1.179487339881504226e-01,7.053164464159624725e-01
2.672524234217270589e-01,0.000000000000000000e+00,5.770980225923333373e-01,5.228063184918471107e-01,0.000000000000000000e+00,4.519722418869642766e-01,1.047865996591089699e-01,3.373237510768229974e-01,3.932631613638667423e-01,2.210579697883472416e-01,6.734110179377801320e-01,0.000000000000000000e+00,1.163755184700718814e-01,7.071725248565587929e-01
1.531350516177060472e-01,0.000000000000000000e+00,9.999999999999998890e-01,9.091422259033254960e-02,3.949275744240416941e-01,2.130037185098925256e-01,9.853672944459601624e-02,4.987496558565074345e-02,1.479181713626909200e-01,3.027827795452200377e-01,4.547798385267833865e-01,0.000000000000000000e+00,4.437974736163532441e-01,4.346910812642978961e-02
9.317154438539990147e-02,0.000000000000000000e+00,9.999999999999998890e-01,7.432945407915036995e-02,3.861971820513758757e-01,2.718486460463922505e-01,1.285892423020644770e-01,5.714383138765932735e-02,2.890232438785512725e-01,3.997907616422002874e-01,4.894516387405258850e-01,0.000000000000000000e+00,4.412107890914462871e-01,8.372497183661620213e-03
4.838681438620937025e-02,0.000000000000000000e+00,9.999999999999998890e-01,5.714880669903443788e-02,3.774161074400819160e-01,2.942116777479886203e-01,1.481304632599774740e-01,8.904977330200813945e-02,3.109964071221551496e-01,4.719826812436913599e-01,7.050112885262451723e-01,0.000000000000000000e+00,4.385113568320768707e-01,1.622047393341818911e-02
